quiz_name,question_number,question_text,answer_1,answer_2,answer_3,answer_4,answer_1_correct,answer_2_correct,answer_3_correct,answer_4_correct,hint,hint_image,bg_image,logo_image
Demo,1,"Four choices, Pick One!",A,B,C,D,FALSE,TRUE,FALSE,FALSE,B,,,
Demo,2,"Three choices, Pick One!",A,B,C,,FALSE,TRUE,FALSE,FALSE,B,,,
Demo,3,"Two choices, Pick One!",A,B,,,FALSE,TRUE,FALSE,FALSE,B,,,
Demo,4,"Four choices, Multiple Correct, Pick One!",A,B,C,D,TRUE,TRUE,FALSE,FALSE,A or B,,,
Cyber Security,1,Cyber security affects (choose the best answer),Just your email,Wi-fi,Anything offline,Anything using a computer. So like everything.,FALSE,FALSE,FALSE,TRUE,Even refrigerators have one these days.,area21/pDavid.jpg,area21/bgCyber.jpg,area21/logo.png
Cyber Security,2,"Always click on links you receive in email, it could be urgent!",It depends,"Yes, hurry!",DANGER!  NEVER!,What's email?,FALSE,FALSE,TRUE,FALSE,Caution with links is the best and only policy.,area21/pDavid.jpg,area21/bgCyber.jpg,area21/logo.png
Cyber Security,3,"To work in cyber, you need",Some post-secondary education,A four-year degree,An advanced degree,"Could be A, B, or C",FALSE,FALSE,FALSE,TRUE,There are many kinds of opportunities.,area21/pDavid.jpg,area21/bgCyber.jpg,area21/logo.png
Cyber Security,4,"Cyber is only about devices, and never about physical systems.",Maybe,TRUE,Super FALSE!,Only for phones,FALSE,FALSE,TRUE,FALSE,Computers can make our real life better!,area21/pDavid.jpg,area21/bgCyber.jpg,area21/logo.png
Cyber Security,5,San Antonio has the ________ most certified information security professionals in the U.S.,2nd,5th,17th,Not a category,TRUE,TRUE,TRUE,TRUE,San Antonio is world class!,area21/pDavid.jpg,area21/bgCyber.jpg,area21/logo.png
Cyber Security,6,Some of the highest ranked cyber education programs in the world are in San Antonio.,YES!,YES!,YES!,YES!,TRUE,TRUE,TRUE,TRUE,San Antonio is world class!,area21/pDavid.jpg,area21/bgCyber.jpg,area21/logo.png
Cyber Security,7,San Antonio is Cyber City USA!,YES!,YES!,YES!,YES!,TRUE,TRUE,TRUE,TRUE,San Antonio is world class!,area21/pDavid.jpg,area21/bgCyber.jpg,area21/logo.png
Tesla Coils,1,Who invented the Tesla Coil?,Alexander Graham Bell,Thomas Edison,Tess Ocean from Los Angeles  ,Nikola Tesla,FALSE,FALSE,TRUE,FALSE,"Come on, you got this one!",area21/pLady.jpg,area21/bgTesla.jpg,area21/logo.png
Tesla Coils,2,What year was the Tesla Coil First Invented?,1891,1901,1851,1923,TRUE,FALSE,FALSE,FALSE,Demonstrated for the first time before Teddy Roosevelt was President.,area21/pLady.jpg,area21/bgTesla.jpg,area21/logo.png
Tesla Coils,3,What did Nikola Tesla study in college?,Electricity,Engineering,Poetry & Literature,Biology,FALSE,TRUE,FALSE,FALSE,What field of study is closest to his research?,area21/pLady.jpg,area21/bgTesla.jpg,area21/logo.png
